;created_at;favorite_count;id_str;is_retweet;retweet_count;source;text;sentiment
1640;Wed Aug 05 16:27:26 +0000 2015;655.0;628965547690954752;0.0;236.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"""In July, we reached a comprehensive plan of action that meets our objectives."" —President Obama #IranDeal";0.34
1641;Wed Aug 05 16:26:16 +0000 2015;761.0;628965253821272065;0.0;324.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"""What was once proclaimed as a historic mistake is now held up as a success."" —President Obama #IranDeal";-0.34
1642;Wed Aug 05 16:25:17 +0000 2015;697.0;628965006747394048;0.0;326.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";“The progress of Iran's nuclear program was halted for the first time in a decade.” —President Obama #IranDeal;0.4215
1643;Wed Aug 05 16:22:19 +0000 2015;755.0;628964259192397824;0.0;281.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"""It was diplomacy that ratcheted up the pressure on Iran."" —President Obama #IranDeal";-0.296
1644;Wed Aug 05 16:20:40 +0000 2015;779.0;628963844602224640;0.0;277.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"""Winning this global buy-in was not easy. I know. I was there."" —President Obama #IranDeal";0.2486
1645;Wed Aug 05 16:19:37 +0000 2015;656.0;628963578901495809;0.0;250.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"""What made our new approach more effective was our ability to draw upon new U.N. Security Council resolutions."" —President Obama #IranDeal";0.796
1646;Wed Aug 05 16:18:33 +0000 2015;776.0;628963310289817604;0.0;303.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";“It was our very willingness to negotiate that helped America rally the world to our cause.” —President Obama #IranDeal;0.3384
1647;Wed Aug 05 16:16:42 +0000 2015;964.0;628962845342896128;0.0;390.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"""I have also made clear my preference for a peaceful diplomatic resolution of the issue."" —President Obama #IranDeal";0.7003
1648;Wed Aug 05 16:14:57 +0000 2015;954.0;628962403221311489;0.0;389.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"""Even before taking office, I made clear that Iran would not be allowed to acquire a nuclear weapon on my watch."" —President Obama #IranDeal";0.1027
1649;Wed Aug 05 16:13:42 +0000 2015;817.0;628962092238802945;0.0;348.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"""The question then is not whether to prevent Iran from obtaining a nuclear weapon, but how."" —President Obama #IranDeal";-0.1623
